country,MostDangerousCountriesForWomen_WomenPeaceAndSecurityIndex_Score_2023,MostDangerousCountriesForWomen_WomensDangerIndexWDI_TotalScore_2019,MostDangerousCountriesForWomen_WDIStreetSafety_2019,MostDangerousCountriesForWomen_WDIIntentionalHomicide_2019,MostDangerousCountriesForWomen_WDINonPartnerViolence_2019,MostDangerousCountriesForWomen_WDIIntimatePartnerViolence_2019,MostDangerousCountriesForWomen_WDILegalDiscrimination_2019,MostDangerousCountriesForWomen_WDIGlobalGenderGap_2019,MostDangerousCountriesForWomen_WDIGenderInequality_2019,MostDangerousCountriesForWomen_WDIAttitudesTowardViolence_2019
Tajikistan,0.69,,,,,,,,,
Papua New Guinea,0.487,,,,,,,,,
Portugal,0.877,277.58,47.0,10.0,6.0,42.0,17.0,64.0,17.0,20.0
Azerbaijan,0.667,,,,,,,,,
Greece,0.766,337.8,71.0,5.0,6.0,42.0,22.0,74.0,23.0,20.0
Hungary,0.835,375.89,57.0,18.0,17.0,47.0,19.0,79.0,49.0,15.0
Togo,0.595,,,,,,,,,
Israel,0.703,,,,,,,,,
Austria,0.911,251.63,27.0,8.0,23.0,29.0,28.0,70.0,14.0,20.0
Belarus,0.733,,,,,,,,,
Switzerland,0.928,252.78,15.0,7.0,66.0,22.0,30.0,59.0,7.0,26.0
Sierra Leone,0.543,,,,,,,,,
Laos,0.704,,,,,,,,,
Turkmenistan,0.75,,,,,,,,,
Hong Kong,0.812,,,,,,,,,
Libya,0.61,,,,,,,,,
Kyrgyzstan,0.673,,,,,,,,,
Paraguay,0.691,,,,,,,,,
Nicaragua,0.717,,,,,,,,,
Bulgaria,0.826,380.84,61.0,7.0,34.0,47.0,30.0,59.0,41.0,34.0
Serbia,0.835,,,,,,,,,
El Salvador,0.566,,,,,,,,,
Republic of the Congo,0.507,,,,,,,,,
Denmark,0.932,320.65,28.0,9.0,63.0,71.0,31.0,54.0,8.0,20.0
Singapore,0.887,245.26,9.0,5.0,19.0,14.0,46.0,71.0,13.0,67.0
Lebanon,0.595,,,,,,,,,
Finland,0.924,,,,,,,,,
Liberia,0.5,,,,,,,,,
Norway,0.92,259.92,16.0,5.0,66.0,62.0,22.0,41.0,9.0,18.0
Slovakia,0.856,,,,,,,,,
Palestine,0.483,,,,,,,,,
Central African Republic,0.378,,,,,,,,,
Oman,0.715,,,,,,,,,
Ireland,0.892,247.31,35.0,4.0,29.0,33.0,19.0,49.0,21.0,20.0
New Zealand,0.904,,,,,,,,,
Mauritania,0.506,,,,,,,,,
Costa Rica,0.743,,,,,,,,,
Kuwait,0.742,,,,,,,,,
Panama,0.757,,,,,,,,,
Croatia,0.862,286.53,43.0,10.0,17.0,29.0,22.0,69.0,24.0,20.0
Georgia,0.812,,,,,,,,,
Mongolia,0.794,,,,,,,,,
Uruguay,0.748,,,,,,,,,
Puerto Rico,0.692,,,,,,,,,
Bosnia and Herzegovina,0.754,,,,,,,,,
Qatar,0.703,,,,,,,,,
Moldova,0.758,,,,,,,,,
Namibia,0.61,,,,,,,,,
Armenia,0.772,,,,,,,,,
Lithuania,0.886,,,,,,,,,
Jamaica,0.71,,,,,,,,,
Albania,0.796,,,,,,,,,
Gambia,0.575,,,,,,,,,
Gabon,0.593,,,,,,,,,
Botswana,0.659,,,,,,,,,
Lesotho,0.605,,,,,,,,,
Guinea-Bissau,0.483,,,,,,,,,
Slovenia,0.824,,,,,,,,,
Equatorial Guinea,0.619,,,,,,,,,
Latvia,0.872,,,,,,,,,
North Macedonia,0.798,,,,,,,,,
Bahrain,0.752,476.09,64.0,14.0,26.0,30.0,81.0,88.0,42.0,52.0
Trinidad and Tobago,0.721,,,,,,,,,
Timor-Leste,0.664,,,,,,,,,
Estonia,0.892,,,,,,,,,
Cyprus,0.739,,,,,,,,,
Mauritius,0.678,,,,,,,,,
Eswatini,0.415,,,,,,,,,
Djibouti,0.504,,,,,,,,,
Fiji,0.738,,,,,,,,,
Comoros,0.519,,,,,,,,,
Guyana,0.769,,,,,,,,,
Solomon Islands,0.664,,,,,,,,,
Bhutan,0.7,,,,,,,,,
Luxembourg,0.924,,,,,,,,,
Montenegro,0.808,,,,,,,,,
Suriname,0.694,,,,,,,,,
Malta,0.846,,,,,,,,,
Maldives,0.72,,,,,,,,,
Cape Verde,0.738,,,,,,,,,
Belize,0.657,,,,,,,,,
Iceland,0.924,,,,,,,,,
Vanuatu,0.644,,,,,,,,,
Barbados,0.779,,,,,,,,,
Sao Tome and Principe,0.648,,,,,,,,,
Samoa,0.711,,,,,,,,,
Seychelles,0.799,,,,,,,,,
Tonga,0.697,,,,,,,,,
